data_code,year,month,day,hour,minute,second,group_number,group_spot_number,projected_umbra,projected_whole_spot,corrected_projected_umbra,corrected_projected_whole_spot,heliographic_latitude,heliographic_longitude,lcm,position_angle,center_distance
s,2001,01,02,12,33,18,9291,7,0,2,0,1,-12.64,212.42,15.19,237.07,0.3060
s,2001,01,02,12,33,18,9291,8,2,-5,1,-5,-11.94,212.30,15.07,238.89,0.2985
s,2001,01,02,12,33,18,9291,9,0,1,0,1,-12.27,211.93,14.70,237.30,0.2960
s,2001,01,02,12,33,18,9291,10,0,5,0,3,-13.60,211.53,14.28,232.83,0.3023
s,2001,01,02,12,33,18,9291,11,0,3,0,2,-12.90,210.26,13.02,232.34,0.2788
s,2001,01,02,12,33,18,9291,12,0,2,0,1,-12.95,209.90,12.67,231.44,0.2746
s,2001,01,02,12,33,18,9291,13,1,9,0,5,-13.44,209.85,12.61,229.92,0.2789
s,2001,01,02,12,33,18,9291,14,0,5,0,3,-12.61,209.83,12.59,232.30,0.2702
s,2001,01,02,12,33,18,9291,15,0,1,0,1,-11.15,209.09,11.84,235.33,0.2459
s,2001,01,02,12,33,18,9292,1,0,2,0,1,27.37,170.77,-26.48,38.17,0.6430
s,2001,01,02,12,33,18,9292,2,0,6,0,4,27.32,170.30,-26.94,38.69,0.6464
s,2001,01,02,12,33,18,9292,3,0,3,0,2,25.80,169.38,-27.86,41.29,0.6401
s,2001,01,02,12,33,18,9292,4,0,1,0,0,26.23,167.43,-29.81,42.60,0.6612
s,2001,01,02,12,33,18,9292a,1,0,2,0,2,22.71,158.76,-38.47,53.41,0.7171
s,2001,01,02,12,33,18,9292a,2,0,1,0,1,21.57,153.86,-43.39,57.62,0.7588
s,2001,01,02,12,33,18,9293,1,16,32,9,19,12.58,167.32,-29.91,61.44,0.5563
s,2001,01,02,12,33,18,9293,2,1,5,1,3,12.18,165.47,-31.76,63.44,0.5775
s,2001,01,02,12,33,18,9293,3,0,1,0,1,12.51,164.91,-32.33,63.30,0.5867
s,2001,01,02,12,33,18,9293,4,0,3,0,2,11.00,164.37,-32.87,66.03,0.5853
s,2001,01,02,12,33,18,9293,5,0,5,0,3,11.97,163.06,-34.19,65.33,0.6072
s,2001,01,02,12,33,18,9293,6,3,17,2,11,12.88,162.78,-34.45,64.11,0.6153
s,2001,01,02,12,33,18,9293,7,0,2,0,1,12.51,162.35,-34.90,64.93,0.6190
s,2001,01,02,12,33,18,9293a,1,0,3,0,1,-13.65,169.31,-27.94,112.37,0.4944
s,2001,01,02,12,33,18,9293m,1,0,1,0,0,-32.20,183.63,-13.62,157.70,0.5272
s,2001,01,02,12,33,18,9294,1,12,65,13,73,21.40,136.96,-60.27,64.23,0.8996
s,2001,01,02,12,33,18,9295,1,12,63,26,136,-13.24,119.90,-77.34,102.85,0.9752
s,2001,01,02,12,33,18,9296,1,10,61,28,174,8.22,117.94,-79.29,81.06,0.9853
s,2001,01,02,12,33,18,9299,1,0,2,0,2,10.99,127.91,-69.33,77.13,0.9436
s,2001,01,03,08,23,56,9283,1,0,0,0,1,-7.58,266.42,80.07,262.88,0.9848
s,2001,01,03,08,23,56,9283,2,0,2,0,4,-11.71,261.34,74.99,258.76,0.9655
s,2001,01,03,08,23,56,9283,3,0,2,0,4,-11.98,261.29,74.93,258.48,0.9652
s,2001,01,03,08,23,56,9283,4,0,1,0,2,-12.38,260.97,74.61,258.06,0.9638
s,2001,01,03,08,23,56,9283,5,0,1,0,2,-13.09,260.99,74.63,257.33,0.9639
s,2001,01,03,08,23,56,9283,6,0,1,0,2,-11.41,258.79,72.43,259.08,0.9531
s,2001,01,03,08,23,56,9283,7,1,16,2,27,-12.21,258.88,72.53,258.23,0.9536
s,2001,01,03,08,23,56,9289,1,179,897,95,476,-5.23,207.66,21.30,264.11,0.3653
